voter_name,affiliation,x1st_place_10_points,x2nd_place_7_points,x3rd_place_5_points,x4th_place_3_points,x5th_place_1_point,year,award
Sherrod Blakely,Comcast SportsNet,"Harden, James -- HOU","Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Davis, Anthony -- NO",2015,MVP
Stacey King,Comcast SportsNet Chicago,"Curry, Stephen -- GS","Harden, James -- HOU","Westbrook, Russell -- OKC","Paul, Chris -- LAC","James, LeBron -- CLE",2015,MVP
Steve Aschburner,NBA.com,"Curry, Stephen -- GS","Harden, James -- HOU","James, LeBron -- CLE","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2015,MVP
Steve Buckhantz,Comcast SportsNet Mid-Atlantic,"Curry, Stephen -- GS","James, LeBron -- CLE","Harden, James -- HOU","Westbrook, Russell -- OKC","Paul, Chris -- LAC",2015,MVP
Steve Holman,Hawks Radio Network,"Curry, Stephen -- GS","Harden, James -- HOU","Westbrook, Russell -- OKC","James, LeBron -- CLE","Davis, Anthony -- NO",2015,MVP
Steve Martin,Fox Sports Carolinas/SportSouth,"Curry, Stephen -- GS","Harden, James -- HOU","James, LeBron -- CLE","Westbrook, Russell -- OKC","Davis, Anthony -- NO",2015,MVP
Steve Popper,The Record,"Curry, Stephen -- GS","Harden, James -- HOU","Westbrook, Russell -- OKC","Paul, Chris -- LAC","James, LeBron -- CLE",2015,MVP
Ted Davis,WTMJ Radio,"Curry, Stephen -- GS","James, LeBron -- CLE","Harden, James -- HOU","Davis, Anthony -- NO","Westbrook, Russell -- OKC",2015,MVP
Tim Roye,KNBR Radio,"Curry, Stephen -- GS","Harden, James -- HOU","James, LeBron -- CLE","Westbrook, Russell -- OKC","Davis, Anthony -- NO",2015,MVP
Vince Ellis,Detroit Free Press,"Harden, James -- HOU","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Davis, Anthony -- NO","James, LeBron -- CLE",2015,MVP
Zach Lowe,Grantland,"Curry, Stephen -- GS","Harden, James -- HOU","Paul, Chris -- LAC","James, LeBron -- CLE","Davis, Anthony -- NO",2015,MVP
Aaron Falk,Salt Lake Tribune,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Griffin, Blake -- LAC","Jefferson, Al -- CHA",2014,MVP
Adrian Chavarria,KEYH 850 AM,"Durant, Kevin -- OKC","James, LeBron -- MIA","Curry, Stephen -- GS","Love, Kevin -- MIN","Harden, James -- HOU",2014,MVP
Al Iannazzone,Newsday,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Duncan, Tim -- SA",2014,MVP
Al McCoy,KTAR Radio,"James, LeBron -- MIA","Durant, Kevin -- OKC","Parker, Tony -- SA","Nowitzki, Dirk -- DAL","Paul, Chris -- LAC",2014,MVP
Alan Horton,WCCO 830-AM,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Curry, Stephen -- GS",2014,MVP
Andy Vasquez,Bergen Record,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Griffin, Blake -- LAC","Jefferson, Al -- CHA",2014,MVP
Anthony Slater,Oklahoman,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Harden, James -- HOU",2014,MVP
Bill Land,Spurs Television,"James, LeBron -- MIA","Durant, Kevin -- OKC","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Aldridge, LaMarcus -- POR",2014,MVP
Bill Oram,Orange County Register,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Aldridge, LaMarcus -- POR",2014,MVP
Bill Reiter,Foxsports.com,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Harden, James -- HOU",2014,MVP
Bill Schoening,WOAI Radio,"Durant, Kevin -- OKC","James, LeBron -- MIA","Harden, James -- HOU","Griffin, Blake -- LAC","Noah, Joakim -- CHI",2014,MVP
Bill Simmons,Grantland,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Nowitzki, Dirk -- DAL",2014,MVP
Bill Worrell,Comcast SportsNet Houston,"Durant, Kevin -- OKC","James, LeBron -- MIA","Harden, James -- HOU","Noah, Joakim -- CHI","Love, Kevin -- MIN",2014,MVP
Bob Cooney,Philadelphia Daily News,"Durant, Kevin -- OKC","James, LeBron -- MIA","Love, Kevin -- MIN","Paul, Chris -- LAC","Harden, James -- HOU",2014,MVP
Bob Fitzgerald,Comcast SportsNet Bay Area,"James, LeBron -- MIA","Durant, Kevin -- OKC","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Curry, Stephen -- GS",2014,MVP
Bob Rathbun,Fox Sports South,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Aldridge, LaMarcus -- POR",2014,MVP
Brendan Brown,MSG Network,"Durant, Kevin -- OKC","James, LeBron -- MIA","Harden, James -- HOU","George, Paul -- IND","Parker, Tony -- SA",2014,MVP
Brian Davis,Fox Sports Oklahoma,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Harden, James -- HOU","George, Paul -- IND",2014,MVP
Brian Sieman,KFWB News Talk 980 AM/KWKW,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","George, Paul -- IND",2014,MVP
Brian Wheeler,Fox Sports Radio/620AM,"Durant, Kevin -- OKC","James, LeBron -- MIA","Paul, Chris -- LAC","George, Paul -- IND","Harden, James -- HOU",2014,MVP
Brian Windhorst,ESPN.com,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Love, Kevin -- MIN",2014,MVP
Candace Buckner,Indianapolis Star,"Durant, Kevin -- OKC","James, LeBron -- MIA","Love, Kevin -- MIN","Harden, James -- HOU","Griffin, Blake -- LAC",2014,MVP
Cedric Maxwell,WEEI Radio,"James, LeBron -- MIA","Durant, Kevin -- OKC","Paul, Chris -- LAC","Anthony, Carmelo -- NY","Noah, Joakim -- CHI",2014,MVP
Charles Gardner,Milwaukee Journal Sentinel,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Griffin, Blake -- LAC","Jefferson, Al -- CHA",2014,MVP
Chris Broussard,ESPN The Magazine,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Curry, Stephen -- GS","Noah, Joakim -- CHI",2014,MVP
Chris Dempsey,Denver Post,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Harden, James -- HOU","Aldridge, LaMarcus -- POR",2014,MVP
Chris Denari,Fox Sports Indiana,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Love, Kevin -- MIN","Harden, James -- HOU",2014,MVP
Chris Mannix,Sports Illustrated,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Griffin, Blake -- LAC","Dragic, Goran -- PHO",2014,MVP
Chris Marlowe,Altitude Sports & Entertainment,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Aldridge, LaMarcus -- POR",2014,MVP
Chris Sheridan,Sheridanhoops.com,"Durant, Kevin -- OKC","Griffin, Blake -- LAC","James, LeBron -- MIA","Noah, Joakim -- CHI","Jefferson, Al -- CHA",2014,MVP
Dan Woike,Orange County Register,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Nowitzki, Dirk -- DAL",2014,MVP
Darnell Mayberry,Oklahoman,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Harden, James -- HOU","Noah, Joakim -- CHI",2014,MVP
Dave Johnson,106.7 The Fan,"Durant, Kevin -- OKC","James, LeBron -- MIA","Harden, James -- HOU","Jefferson, Al -- CHA","George, Paul -- IND",2014,MVP
David Aldridge,TNT,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Duncan, Tim -- SA","Harden, James -- HOU",2014,MVP
Dei Lynam,Comcast SportsNet,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","George, Paul -- IND","Noah, Joakim -- CHI",2014,MVP
Dennis Neumann,ESPN 580 AM,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Griffin, Blake -- LAC","Harden, James -- HOU",2014,MVP
Diamond Leung,Bay Area News Group/Contra Costa Times,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Curry, Stephen -- GS",2014,MVP
Dominique Wilkins,Fox Sports South,"Durant, Kevin -- OKC","James, LeBron -- MIA","Paul, Chris -- LAC","George, Paul -- IND","Love, Kevin -- MIN",2014,MVP
Doug Smith,Toronto Star,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Griffin, Blake -- LAC","Aldridge, LaMarcus -- POR",2014,MVP
Dwain Price,Ft. Worth Star Telegam,"Durant, Kevin -- OKC","James, LeBron -- MIA","Parker, Tony -- SA","Griffin, Blake -- LAC","Harden, James -- HOU",2014,MVP
Eddie Sefko,Dallas Morning News,"Durant, Kevin -- OKC","James, LeBron -- MIA","Harden, James -- HOU","Griffin, Blake -- LAC","Jefferson, Al -- CHA",2014,MVP
Eric Hasseltine,92.9 FM ESPN/680 AM,"Durant, Kevin -- OKC","James, LeBron -- MIA","Aldridge, LaMarcus -- POR","Paul, Chris -- LAC","Curry, Stephen -- GS",2014,MVP
Eric Smith,SportsNet 590 The Fan,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Griffin, Blake -- LAC","Harden, James -- HOU",2014,MVP
Ernie Johnson,TNT,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","George, Paul -- IND",2014,MVP
Fran Blinebury,NBA.com,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Griffin, Blake -- LAC","Harden, James -- HOU",2014,MVP
Frank Isola,New York Daily News,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Harden, James -- HOU",2014,MVP
Fred McLeod,Fox Sports Ohio,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Harden, James -- HOU","Noah, Joakim -- CHI",2014,MVP
Gary Gerould,CSN-CA,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Griffin, Blake -- LAC","Harden, James -- HOU",2014,MVP
Gary Washburn,Boston Globe,"Durant, Kevin -- OKC","James, LeBron -- MIA","Jefferson, Al -- CHA","Griffin, Blake -- LAC","Noah, Joakim -- CHI",2014,MVP
George Blaha,WXYT / Fox Sports Detroit,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Love, Kevin -- MIN","George, Paul -- IND",2014,MVP
Glenn Consor,106.7 The Fan,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Paul, Chris -- LAC","Harden, James -- HOU",2014,MVP
Grant Napear,CSN-CA,"James, LeBron -- MIA","Durant, Kevin -- OKC","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Aldridge, LaMarcus -- POR",2014,MVP
Howard Beck,Bleacher Report,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Griffin, Blake -- LAC","Nowitzki, Dirk -- DAL",2014,MVP
Hubie Brown,ESPN,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Duncan, Tim -- SA","Noah, Joakim -- CHI",2014,MVP
Ira Winderman,South Florida Sun Sentinel,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Jefferson, Al -- CHA",2014,MVP
Israel Gutierrez,ESPN.com,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Curry, Stephen -- GS","Harden, James -- HOU",2014,MVP
JA Adande,ESPN.com,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Harden, James -- HOU","Noah, Joakim -- CHI",2014,MVP
Jason Jones,Sacramento Bee,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Curry, Stephen -- GS",2014,MVP
Jason Lloyd,Akron Beacon Journal,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Aldridge, LaMarcus -- POR","Jefferson, Al -- CHA",2014,MVP
Jeff McDonald,San Antonio Express-News,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Harden, James -- HOU","Noah, Joakim -- CHI",2014,MVP
Jeff Turner,Fox Sports Florida,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Harden, James -- HOU","George, Paul -- IND",2014,MVP
Jeff Zillgitt,USA Today,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Curry, Stephen -- GS",2014,MVP
Jerry Zgoda,Minneapolis Star Tribune,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Griffin, Blake -- LAC","George, Paul -- IND",2014,MVP
Jim Paschke,Fox Sports Wisconsin,"Durant, Kevin -- OKC","James, LeBron -- MIA","Harden, James -- HOU","Noah, Joakim -- CHI","Duncan, Tim -- SA",2014,MVP
Jim Petersen,Fox Sports North,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Griffin, Blake -- LAC","Jefferson, Al -- CHA",2014,MVP
Jody Genessy,Deseret News,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Griffin, Blake -- LAC","Curry, Stephen -- GS",2014,MVP
Joe Cowley,Chicago Sun-Times,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Griffin, Blake -- LAC","Curry, Stephen -- GS",2014,MVP
Joe Freeman,The Oregonian,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Paul, Chris -- LAC","Curry, Stephen -- GS",2014,MVP
Joe Goodman,Miami Herald,"Durant, Kevin -- OKC","James, LeBron -- MIA","Duncan, Tim -- SA","Noah, Joakim -- CHI","Griffin, Blake -- LAC",2014,MVP
Joel Meyers,Fox Sports New Orleans,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Curry, Stephen -- GS","Aldridge, LaMarcus -- POR",2014,MVP
John Reid,New Orleans Times Picayune,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Griffin, Blake -- LAC","Curry, Stephen -- GS",2014,MVP
Jon Barry,ESPN Radio,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Aldridge, LaMarcus -- POR",2014,MVP
Jonathan Feigen,Houston Chronicle,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Harden, James -- HOU","Curry, Stephen -- GS",2014,MVP
KC Johnson,Chicago Tribune,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Griffin, Blake -- LAC","Parker, Tony -- SA",2014,MVP
Keith Pompey,Philadelphia Inquirer,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Paul, Chris -- LAC","Aldridge, LaMarcus -- POR",2014,MVP
Ken Berger,CBSSports.com,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Curry, Stephen -- GS",2014,MVP
Kevin Arnovitz,ESPN.com,"Durant, Kevin -- OKC","James, LeBron -- MIA","Curry, Stephen -- GS","Griffin, Blake -- LAC","Love, Kevin -- MIN",2014,MVP
Kevin Calabro,ESPN Radio,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","George, Paul -- IND",2014,MVP
Kevin Ding,Bleacher Report,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Curry, Stephen -- GS","George, Paul -- IND",2014,MVP
Lang Whitaker,NBA.com,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Harden, James -- HOU",2014,MVP
Marc Spears,Yahoo! Sports,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Parker, Tony -- SA","Curry, Stephen -- GS",2014,MVP
Marc Stein,ESPN.com,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","George, Paul -- IND",2014,MVP
Mark Boyle,WIBC,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Dragic, Goran -- PHO",2014,MVP
Mark Followill,TXA-21/Fox Sports Net,"Durant, Kevin -- OKC","James, LeBron -- MIA","Curry, Stephen -- GS","Griffin, Blake -- LAC","Parker, Tony -- SA",2014,MVP
Marv Albert,TNT,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Griffin, Blake -- LAC","Parker, Tony -- SA",2014,MVP
Mary Schmitt Boyer,Cleveland Plain Dealer,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Duncan, Tim -- SA",2014,MVP
Matt Devlin,SportsNet/TSN,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Duncan, Tim -- SA",2014,MVP
Matt Winer,NBA TV,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Griffin, Blake -- LAC","Duncan, Tim -- SA",2014,MVP
Michael Wallace,ESPN.com,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Jefferson, Al -- CHA",2014,MVP
Michael Wilbon,ESPN,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Curry, Stephen -- GS",2014,MVP
Mike Breen,ABC Sports,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","George, Paul -- IND",2014,MVP
Mike Monroe,San Antonio Express-News,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Aldridge, LaMarcus -- POR","Jefferson, Al -- CHA",2014,MVP
Mike Rice,Comcast SportsNet NW,"Durant, Kevin -- OKC","James, LeBron -- MIA","Aldridge, LaMarcus -- POR","Jefferson, Al -- CHA","Griffin, Blake -- LAC",2014,MVP
Mike Tirico,ESPN,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Curry, Stephen -- GS","Griffin, Blake -- LAC",2014,MVP
Mitch Lawrence,New York Daily News,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Harden, James -- HOU","Parker, Tony -- SA",2014,MVP
NBA.com Fan Vote,NBA.com Fan Vote,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","George, Paul -- IND",2014,MVP
Paul Coro,Arizona Republic,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Curry, Stephen -- GS",2014,MVP
Pete Pranica,Fox Sports Tennessee,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Curry, Stephen -- GS","Griffin, Blake -- LAC",2014,MVP
Ralph Lawler,Prime Ticket,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Harden, James -- HOU",2014,MVP
Ric Bucher,Bleacher Report,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Paul, Chris -- LAC","Nowitzki, Dirk -- DAL",2014,MVP
Rick Bonnell,Charlotte Observer,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Curry, Stephen -- GS","Love, Kevin -- MIN",2014,MVP
Ron Boone,ROOT Sports,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Curry, Stephen -- GS",2014,MVP
Ron Tillery,Memphis Commercial Appeal,"Durant, Kevin -- OKC","James, LeBron -- MIA","Paul, Chris -- LAC","Parker, Tony -- SA","Conley, Mike -- MEM",2014,MVP
Rusty Simmons,San Francisco Chronicle,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","George, Paul -- IND",2014,MVP
Sam Amick,USA Today,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Curry, Stephen -- GS",2014,MVP
Sam Smith,Bulls.com,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Griffin, Blake -- LAC","Jefferson, Al -- CHA",2014,MVP
Scott Hastings,Altitude Sports & Entertainment,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Duncan, Tim -- SA",2014,MVP
Sean Deveney,The Sporting News,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Curry, Stephen -- GS",2014,MVP
Sean Kelley,Pelicans Radio,"Durant, Kevin -- OKC","James, LeBron -- MIA","Paul, Chris -- LAC","Griffin, Blake -- LAC","Harden, James -- HOU",2014,MVP
Shaun Powell,Sports on Earth,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Love, Kevin -- MIN",2014,MVP
Sherrod Blakely,Comcast SportsNet,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Griffin, Blake -- LAC","George, Paul -- IND",2014,MVP
Stephanie Ready,SportSouth,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Jefferson, Al -- CHA","Harden, James -- HOU",2014,MVP
Steve Aschburner,NBA.com,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","George, Paul -- IND",2014,MVP
Steve Buckhantz,Comcast SportsNet,"Durant, Kevin -- OKC","James, LeBron -- MIA","Jefferson, Al -- CHA","Griffin, Blake -- LAC","Noah, Joakim -- CHI",2014,MVP
Steve Holman,Hawks Radio Network,"James, LeBron -- MIA","Durant, Kevin -- OKC","Noah, Joakim -- CHI","Jefferson, Al -- CHA","Griffin, Blake -- LAC",2014,MVP
Steve Kerr,TNT,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Duncan, Tim -- SA",2014,MVP
Steve Martin,Bobcats Radio,"Durant, Kevin -- OKC","James, LeBron -- MIA","Harden, James -- HOU","Curry, Stephen -- GS","Anthony, Carmelo -- NY",2014,MVP
Ted Davis,WTMJ Radio,"Durant, Kevin -- OKC","James, LeBron -- MIA","George, Paul -- IND","Duncan, Tim -- SA","Paul, Chris -- LAC",2014,MVP
Tim Bontemps,New York Post,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Griffin, Blake -- LAC","Curry, Stephen -- GS",2014,MVP
Tim Capstraw,WFAN (660),"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Harden, James -- HOU",2014,MVP
Tim Kempton,KTAR Radio,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","Dragic, Goran -- PHO",2014,MVP
Tom Heinsohn,Comcast SportsNet,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Noah, Joakim -- CHI","George, Paul -- IND",2014,MVP
Vince Ellis,Detroit Free Press,"Durant, Kevin -- OKC","James, LeBron -- MIA","Noah, Joakim -- CHI","Griffin, Blake -- LAC","Jefferson, Al -- CHA",2014,MVP
Vincent Goodwill,Detroit News,"Durant, Kevin -- OKC","James, LeBron -- MIA","Griffin, Blake -- LAC","Curry, Stephen -- GS","Noah, Joakim -- CHI",2014,MVP
Zach Lowe,Grantland,"Durant, Kevin -- OKC","James, LeBron -- MIA","Curry, Stephen -- GS","Noah, Joakim -- CHI","Griffin, Blake -- LAC",2014,MVP
